Ticker,Company Name,Sector,Industry,Number of employees,Market Cap ($ millions),52 Week Price Change In %
SMGBY,,,,,,
FRFHF,,,,,,
ZTCOY,,,,,,
TKPYY,,,,,,
SWSKF,,,,,,
GPS,,,,,,
SKM,,,,,,
GIS,,,,,,
CL,,,,,,
AEP,,,,,,
XPO,,,,,,
CYH,,,,,,
OMC,,,,,,
YPF,,,,,,
EMR,,,,,,
CDW,,,,,,
CEA,,,,,,
SHPG,,,,,,
TELNY,,,,,,
